Category,Context,Term,Score,Attempts
Example,Example,Example,0,0
I5,Next Ramp,VICTORY/I5[RAMP TO SB I5,0,0
100 Blocks,SE St,Division,0,0
I5,Next Ramp,SB I5 TO/ROSA PARKS,1,1
100 Blocks,NE St,Ainsworth,0,0
I5,Next Ramp,SB I5 TO/MORRISON BRG,1,1
Protocols,EMD,Inaccessible,0,0
Protocols,EMD,Stab/Gunshot,0,0
I5,Previous Ramp,NB I5 TO/CORBETT,0,0
100 Blocks,NE St,Fremont,0,0
100 Blocks,SW St,Burnside,0,0
I5,Next Ramp,MARINE DR/I5[RAMP TO SB I5,0,0
Protocols,EMD,Pregnancy,1,1
100 Blocks,SW St,Vermont,0,0
I5,Next Ramp,SB I5 TO/TERWILLIGER,0,0
100 Blocks,NW Ave,Park,0,0
I5,Previous Ramp,NB I5 TO/NB I405,0,0
100 Blocks,N Ave,Wall,-1,1
Protocols,EMD,Burns,0,0
100 Blocks,NE St,Russell,1,1
I5,Previous Ramp,JANTZEN/HAYDEN ISLAND[RAMP TO NB I5,0,0
I5,Next Ramp,SB I5 TO/DENVER,0,0
I5,Next Ramp,NB I5 TO/VICTORY,0,0
100 Blocks,NW St,Lovejoy,0,0
I5,Next Ramp,NB I5 TO/TAYLORS FERRY,0,0
Protocols,EMD,Traffic Collision,0,0
I5,Next Ramp,NB I5 TO/NB I405,0,0
Protocols,EMD,Diabetic Problems,0,0
I5,Next Ramp,NB I5 TO/LOMBARD WB,-1,1
I5,Next Ramp,TOMAHAWK ISLAND/CENTER[RAMP TO SB I5,0,0
I5,Next Ramp,NB I5 NO/BARBUR,0,0
I5,Next Ramp,GOING/I5[RAMP TO SB I5,0,0
100 Blocks,N Ave,Ida,0,0
100 Blocks,N St,Willis,0,0
I5,Previous Ramp,NB I5 TO/LOMBARD EB,0,0
I5,Next Ramp,MARINE DR/I5[RAMP TO NB I5,1,1
I5,Previous Ramp,SB I5 TO/CAPITOL,0,0
I5,Previous Ramp,NB I5 TO/JANTZEN BEACH,0,0
I5,Previous Ramp,NB I5 TO/ MARINE DR,1,1
100 Blocks,SE St,Hawthorne,0,0
I5,Previous Ramp,MORRISON BRG TO/NB I5,0,0
100 Blocks,N Ave,Buchanan,0,0
100 Blocks,N Ave,Albina,0,0
I5,Previous Ramp,SB I5 TO/EB I84,1,1
100 Blocks,NE St,Alberta,0,0
I5,Next Ramp,NB FREMONT BRG TO/NB I5,0,0
I5,Previous Ramp,ALBERTA/I5[RAMP TO SB I5,0,0
I5,Previous Ramp,NB I5 TO/COMLUMBIA,0,0
100 Blocks,NE St,Dekum,0,0
100 Blocks,NE St,Burnside,0,0
100 Blocks,N Ave,St Louis,0,0
I5,Previous Ramp,DENVER/SCHMEER[RAMP TO NB I5,0,0
Protocols,EMD,Animal Attacks,-1,1
I5,Next Ramp,NB I5 TO/COMLUMBIA,0,0
100 Blocks,SW St,Caruthers,0,0
I5,Previous Ramp,SB I5 TO/ALBERTA,0,0
I5,Next Ramp,ROSA PARKS/I5[RAMP TO SB I5,0,0
Protocols,EMD,Overdose,0,0
Protocols,EMD,Headache,-1,1
100 Blocks,N Ave,Interstate,0,0
100 Blocks,SW St,Market,0,0
Protocols,EMD,Unconscious/Fainting,0,0
100 Blocks,N Ave,Denver,0,0
I5,Next Ramp,SB I5 TO/CAPITOL,0,0
I5,Previous Ramp,NB I5 TO/VICTORY,0,0
Protocols,EMD,Breathing Problems,0,0
100 Blocks,SW St,Multnomah,0,0
100 Blocks,N Ave,Vancouver,0,0
I5,Next Ramp,BROADWAY/I5[RAMP TO NB I5,0,0
I5,Previous Ramp,SB I5 TO/PACIFIC HWY,0,0
100 Blocks,SW St,Spring Garden,0,0
100 Blocks,NE St,Halsey,0,0
I5,Previous Ramp,NB I5 TO/ROSA PARKS,0,0
I5,Next Ramp,NB I5 TO/JANTZEN BEACH,1,1
Protocols,EMD,Heart Problems,0,0
I5,Next Ramp,NB I5 TO/LOMBARD EB,0,0
I5,Next Ramp,CAPITOL/I5[RAMP TO SB I5,1,1
100 Blocks,NE St,Going,0,0
100 Blocks,SE St,Burnside,1,1
100 Blocks,SE St,Powell,0,0
