Context,Term,Definition,Flip
NE Ave,MLK,400,0.4
NE Ave,Grand,500,0.4
N St,Lombard,7500,0.4
N St,Willis,8400,0.4
N St,Fessenden,9500,0.4
NE St,Lombard,7500,0.4
NE St,Burnside,0,0.4
NE St,Fremont,3500,0.4
NE St,Ainsworth,6000,0.4
NE St,Killingsworth,5500,0.4
NE St,Halsey,1500,0.4
NE St,Dekum,6800,0.4
NE St,Prescott,4500,0.4
NE St,Weidler,1600,0.4
NE St,Russell,2600,0.4
NE St,Broadway,1700,0.4
NE St,Going,4600,0.4
NE St,San Rafael,2000,0.4
NE St,Skidmore,4300,0.4
NE St,Shaver,4000,0.4
NE St,Alberta,5000,0.4
NE St,Rosa Parks,6500,0.4
NE St,Glisan,500,0.4
N Ave,Denver,2000,0.4
N Ave,Greeley,2800,0.4
N Ave,Mississippi,900,0.4
N Ave,Buchanan,7500,0.4
N Ave,Catlin,9500,0.4
N Ave,Wall,6100,0.4
N Ave,Portsmouth,5300,0.4
N Ave,Ida,6900,0.4
N Ave,Weyerhaeuser,10000,0.4
N Ave,Williams,0,0.4
N Ave,Vancouver,200,0.4
N Ave,Peninsular,3000,0.4
N Ave,Interstate,1500,0.4
N Ave,Mohawk,8000,0.4
N Ave,Albina,800,0.4
N Ave,St Louis,9100,0.4
N Ave,Commercial,500,0.4
N Ave,Chautauqua,4000,0.4
N Ave,Woolsey,4500,0.4
SW Ave,Broadway,700,0.4
SW Ave,Park,800,0.4
NW Ave,Broadway,700,0.4
NW Ave,Park,800,0.4
SW St,Burnside,0,0.4
SW St,Washington,500,0.4
SW St,Salmon,1000,0.4
SW St,Clay,1500,0.4
SW St,Market,1600,0.4
SW St,Caruthers,2400,0.4
SW St,Hamilton,4500,0.4
SW St,Vermont,6700,0.4
SW St,Stephenson,11800,0.4
SW St,Multnomah,8000,0.4
SW St,Spring Garden,8500,0.4
NW St,Burnside,0,0.4
NW St,Glisan,500,0.4
NW St,Lovejoy,1000,0.4
NW St,Vaughn,2000,0.4
NW St,Nicolai,2500,0.4
SE St,Burnside,0,0.4
SE St,Stark,500,0.4
SE St,Belmont,900,0.4
SE St,Hawthorne,1500,0.4
SE St,Division,2500,0.4
SE St,Powell,3500,0.4
SE St,Holgate,4500,0.4
SE St,Harold,5500,0.4
SE St,Woodstock,6000,0.4
SE St,Duke,6500,0.4
SE St,Bybee,7000,0.4
SE St,Flavel,7500,0.4
SE St,Tacoma,8100,0.4
SE St,Clatsop,8600,0.4
