Context,Term,Definition,Flip
Next Ramp,SB I5 TO/NB I405,SB I5 TO/MACADAM,0
Next Ramp,WB I84 TO/NB I5,NB I5 TO/WEIDLER,0
Next Ramp,BARBUR/64[RAMP TO NB I5,CAPITOL/HUBER[RAMP TO NB I5,0
Next Ramp,SB I5 TO/EB I84,SB I5 TO/MORRISON BRG,0
Next Ramp,NB I5 TO/TERWILLIGER,MULTNOMAH/22[RAMP TO NB I5,0
Next Ramp,SB I5 TO/CAPITOL,CAPITOL/I5[RAMP TO SB I5,0
Next Ramp,SB I405 TO/SB I5,HOOD/GAINES[RAMP TO SB I5,0
Next Ramp,SB I5 TO/MACADAM,RIVER/HARBOR[RAMP TO SB I5,0
Next Ramp,SB I5 TO/MORRISON BRG,WB I84 TO/SB I5,0
Next Ramp,MORRISON BRG TO/NB I5,WB I84 TO/NB I5,0
Next Ramp,RIVER/HARBOR[RAMP TO SB I5,SB I405 TO/SB I5,0
Next Ramp,MACADAM/GAINES[RAMP TO NB I5,SB I405 TO/NB I5,0
Next Ramp,NB I5 TO/CORBETT,NB I5 TO/MACADAM,0
Next Ramp,MULTNOMAH/22[RAMP TO NB I5,TERWILLIGER/I5[RAMP TO NB I5,0
Next Ramp,SB I5 TO/TERWILLIGER,SB I5 TO/MULTNOMAH,0
Next Ramp,NB I5 TO/NB I405,MACADAM/GAINES[RAMP TO NB I5,0
Next Ramp,SPRING GARDEN/I5[RAMP TO NB I5,NB I5 TO/TERWILLIGER,0
Next Ramp,TERWILLIGER/I5[RAMP TO NB I5,NB I5 TO/CORBETT,0
Next Ramp,CAPITOL/HUBER[RAMP TO NB I5,NB I5 TO/TAYLORS FERRY,0
Next Ramp,HOOD/GAINES[RAMP TO SB I5,SB I5 TO/TERWILLIGER,0
Next Ramp,SB I405 TO/NB I5,NB I5 TO/EB I84,0
Next Ramp,NB I5 TO/EB I84,MORRISON BRG TO/NB I5,0
Next Ramp,NB I5 TO/MACADAM,NB I5 TO/NB I405,0
Next Ramp,NB I5 NO/BARBUR,BARBUR/64[RAMP TO NB I5,0
Next Ramp,SB I5 TO/PACIFIC HWY,BARBUR/64[RAMP TO SB I5,0
Next Ramp,NB I5 TO/TAYLORS FERRY,SPRING GARDEN/I5[RAMP TO NB I5,0
Next Ramp,SB I5 TO/MULTNOMAH,SB I5 TO/BARBUR,0
Next Ramp,WB I84 TO/SB I5,SB I5 TO/NB I405,0
Next Ramp,CAPITOL/I5[RAMP TO SB I5,SB I5 TO/PACIFIC HWY,0
Next Ramp,SB I5 TO/BARBUR,SB I5 TO/CAPITOL,0
Next Ramp,BARBUR/64[RAMP TO SB I5,SB I5 TO/HAINES,0
Next Ramp,NB I5 TO/WEIDLER,BROADWAY/I5[RAMP TO NB I5,0
Next Ramp,BROADWAY/I5[RAMP TO NB I5,NB I5 TO/SB FREMONT BRG,0
Next Ramp,NB I5 TO/SB FREMONT BRG,NB I5 TO/GREELEY,0
Next Ramp,NB I5 TO/GREELEY,NB FREMONT BRG TO/NB I5,0
Next Ramp,EB FREMONT BRG TO/NB I5,NB I5 TO/GOING,0
Next Ramp,NB I5 TO/GOING,GOING/I5[RAMP TO NB I5,0
Next Ramp,GOING/I5[RAMP TO NB I5,ALBERTA/I5[RAMP TO NB I5,0
Next Ramp,ALBERTA/I5[RAMP TO NB I5,NB I5 TO/ROSA PARKS,0
Next Ramp,NB I5 TO/ROSA PARKS,ROSA PARKS/I5[RAMP TO NB I5,0
Next Ramp,ROSA PARKS/I5[RAMP TO NB I5,NB I5 TO/LOMBARD EB,0
Next Ramp,NB I5 TO/LOMBARD EB,NB I5 TO/LOMBARD WB,0
