Context,Term,Definition,Flip
EMD,Transfer,33,0.5
EMD,Person Down Unknown,32,0.5
EMD,Unconscious/Fainting,31,0.5
EMD,Trauma,30,0.5
EMD,Traffic Collision,29,0.5
EMD,Stroke,28,0.5
EMD,Stab/Gunshot,27,0.5
EMD,Sick,26,0.5
EMD,Mental Health,25,0.5
EMD,Pregnancy,24,0.5
EMD,Overdose,23,0.5
EMD,Inaccessible,22,0.5
EMD,Hemorrhage,21,0.5
EMD,Heat/Cold,20,0.5
EMD,Heart Problems,19,0.5
EMD,Headache,18,0.5
EMD,Falls,17,0.5
EMD,Eye Problems,16,0.5
EMD,Electrocution,15,0.5
EMD,Drowning,14,0.5
EMD,Diabetic Problems,13,0.5
EMD,Seizures,12,0.5
EMD,Choking,11,0.5
EMD,Chest Pain,10,0.5
EMD,Arrest/Death,9,0.5
EMD,Carbon Monoxide,8,0.5
EMD,Breathing Problems,6,0.5
EMD,Burns,7,0.5
EMD,Allergies,2,0.5
EMD,Animal Attack,3,0.5
EMD,Assault,4,0.5
EMD,Back Pain,5,0.5
EMD,Abdominal Pain,1,0.5
